nodename,issid,nodesize,straintype,color,human,plant,soil,water,unknown,others
Cheater-r(3):b60,0,2,3,nan,0,0,0,1,0,1
Cheater-r(2):b63,0,1,3,nan,0,0,0,0,0,1
Cheater-r(3):b64,0,1,3,nan,0,0,0,0,1,0
Cheater-r(2):b65,0,1,3,nan,0,0,0,1,0,0
Cheater-r(1):b66,0,3,3,nan,0,0,2,0,1,0
Cheater-r(2):b67,0,2,3,nan,0,0,1,1,0,0
Cheater-r(3):b68,0,4,3,nan,0,2,0,0,2,0
Cheater-r(5):b69,0,1,3,nan,0,1,0,0,0,0
Cheater-r(4):b70,0,1,3,nan,0,0,1,0,0,0
Cheater-r(2):b71,0,1,3,nan,0,1,0,0,0,0
Cheater-r(3):b72,0,1,3,nan,0,0,0,0,0,1
Cheater-r(2):b73,0,1,3,nan,0,0,1,0,0,0
Cheater-r(1):b75,0,17,3,nan,0,0,2,1,9,5
Cheater-r(2):b78,0,5,3,nan,0,5,0,0,0,0
Cheater-r(1):b81,0,5,3,nan,0,2,0,0,3,0
Cheater-r(4):b82,0,4,3,nan,0,0,0,0,4,0
Cheater-r(3):b83,0,1,3,nan,0,0,1,0,0,0
Cheater-r(4):b84,0,2,3,nan,0,1,0,0,1,0
Cheater-r(3):b85,0,1,3,nan,0,0,0,0,1,0
Cheater-r(4):b86,0,1,3,nan,0,0,0,0,1,0
Cheater-r(3):b87,0,1,3,nan,0,0,0,0,1,0
Cheater-r(3):b88,0,1,3,nan,0,0,0,0,1,0
Cheater-r(1):b89,0,4,3,nan,1,0,0,0,3,0
Cheater-r(4):b91,0,1,3,nan,0,1,0,0,0,0
Cheater-r(5):b92,0,1,3,nan,0,1,0,0,0,0
Cheater-r(6):b93,0,1,3,nan,0,0,0,0,0,1
Cheater-r(2):b95,0,1,3,nan,0,0,0,0,0,1
Cheater-r(1):b96,0,16,3,nan,0,2,2,0,4,8
Cheater-r(2):b97,0,8,3,nan,0,0,1,0,2,5
Cheater-r(2):b100,0,2,3,nan,0,0,1,0,1,0
Cheater-r(3):b101,0,1,3,nan,0,0,0,0,1,0
Cheater-r(4):b102,0,2,3,nan,0,0,0,1,1,0
Cheater-r(5):b103,0,7,3,nan,0,0,0,0,1,6
Cheater-r(6):b104,0,1,3,nan,0,0,0,0,0,1
Cheater-r(4):b105,0,1,3,nan,0,0,0,0,0,1
Cheater-r(1):b107,0,2,3,nan,0,0,0,0,0,2
Cheater-r(2):b108,0,1,3,nan,0,0,1,0,0,0
Cheater-r(1):b109,0,6,3,nan,0,0,0,1,4,1
Cheater-r(4):b110,0,2,3,nan,0,0,0,0,0,2
Cheater-r(2):b111,0,1,3,nan,0,0,0,1,0,0
Cheater-r(2):b112,0,3,3,nan,0,0,0,1,2,0
Cheater-r(1):b113,0,19,3,nan,5,0,0,0,14,0
Cheater-r(1):b114,0,2,3,nan,0,1,0,0,1,0
Cheater-r(1):b115,0,1,3,nan,0,0,0,0,1,0
Pure-s1:b116,0,1,1,nan,0,0,1,0,0,0
Partial-s1-r(8):b117,0,1,2,nan,0,0,0,1,0,0
Pure-s2:b118,0,2,1,nan,0,0,0,0,2,0
Partial-s2-r(9):b119,0,1,2,nan,0,0,0,0,1,0
Partial-s3-r(9):b120,0,1,2,nan,0,0,0,1,0,0
Partial-s3-r(8):b121,0,1,2,nan,0,0,0,0,0,1
Partial-s3-r(8):b122,0,1,2,nan,0,0,1,0,0,0
Partial-s3-r(7):b123,0,1,2,nan,0,0,0,1,0,0
Partial-s3-r(2):b124,0,10,2,nan,0,3,2,0,5,0
Partial-s3-r(8):b125,0,1,2,nan,0,1,0,0,0,0
Partial-s3-r(3):b126,0,6,2,nan,0,1,2,0,3,0
Partial-s3-r(5):b127,0,1,2,nan,0,0,0,0,1,0
Partial-s3-r(5):b128,0,1,2,nan,0,0,0,0,1,0
Partial-s3-r(3):b129,0,2,2,nan,0,1,0,0,1,0
Partial-s3-r(4):b130,0,2,2,nan,0,1,1,0,0,0
Pure-s3:b131,0,320,1,nan,210,6,8,14,74,8
Partial-s3-r(2):b132,0,2,2,nan,1,0,0,0,1,0
Partial-s3-r(3):b133,0,3,2,nan,0,0,0,1,2,0
Partial-s3-r(4):b134,0,1,2,nan,0,1,0,0,0,0
Partial-s3-r(2):b135,0,4,2,nan,2,0,0,0,0,2
Partial-s3-r(2):b136,0,6,2,nan,0,1,1,1,3,0
Partial-s3-r(2):b137,0,1,2,nan,0,0,0,0,1,0
Partial-s3-r(2):b138,0,9,2,nan,2,2,1,1,3,0
Partial-s4-r(2):b139,0,1,2,nan,0,0,1,0,0,0
Partial-s4-r(2):b140,0,1,2,nan,0,0,0,0,1,0
