nodename,issid,nodesize,straintype,color,human,plant,soil,water,unknown,others
Partial-s91-r(3):b392,0,4,2,nan,0,1,1,0,1,1
Partial-s91-r(5):b393,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(3):b394,0,2,2,nan,0,1,0,0,1,0
Partial-s91-r(2):b395,0,4,2,nan,0,0,0,3,1,0
Pure-s91:b396,0,135,1,nan,80,1,6,19,26,3
Partial-s91-r(2):b397,0,4,2,nan,0,1,2,0,0,1
Partial-s92-r(6):b398,0,3,2,nan,0,0,0,0,3,0
Partial-s92-r(5):b399,0,1,2,nan,0,0,0,0,1,0
Partial-s92-r(4):b400,0,1,2,nan,0,1,0,0,0,0
Partial-s92-r(4):b401,0,1,2,nan,0,0,0,0,0,1
Partial-s92-r(4):b402,0,2,2,nan,0,1,0,0,1,0
Partial-s92-r(3):b403,0,3,2,nan,0,0,0,0,3,0
Partial-s92-r(3):b404,0,3,2,nan,0,0,2,0,1,0
Partial-s92-r(11):b405,0,1,2,nan,0,0,1,0,0,0
Partial-s92-r(3):b406,0,2,2,nan,0,0,0,0,2,0
Partial-s92-r(4):b407,0,1,2,nan,0,0,0,0,0,1
Partial-s92-r(2):b408,0,1,2,nan,0,0,0,0,1,0
Partial-s92-r(2):b409,0,15,2,nan,0,1,5,2,7,0
Partial-s92-r(3):b410,0,6,2,nan,0,1,0,2,3,0
Pure-s92:b411,0,14,1,nan,1,3,3,1,6,0
Partial-s93-r(9):b412,0,1,2,nan,0,0,0,1,0,0
Partial-s93-r(7):b413,0,1,2,nan,0,1,0,0,0,0
Partial-s93-r(5):b414,0,1,2,nan,0,0,1,0,0,0
Partial-s93-r(5):b415,0,1,2,nan,0,0,1,0,0,0
Partial-s94-r(5):b416,0,1,2,nan,0,0,1,0,0,0
Partial-s94-r(4):b417,0,1,2,nan,0,0,0,1,0,0
Partial-s94-r(2):b418,0,27,2,nan,1,6,7,3,9,1
Partial-s94-r(4):b419,0,1,2,nan,0,1,0,0,0,0
Partial-s94-r(2):b420,0,2,2,nan,0,0,0,0,2,0
Partial-s94-r(2):b421,0,7,2,nan,0,1,4,1,1,0
Pure-s94:b422,0,44,1,nan,3,3,16,2,19,1
