nodename,issid,nodesize,straintype,color,species,behav
Pure-s90:b331(helleri),0,1,1,#FFFFFF,helleri,90|90
sid-3(mendocina),1,0,nan,#FF0000,mendocina,3
sid-6(mendocina),1,0,nan,#BFBFBF,mendocina,6
sid-26(mendocina),1,0,nan,#BFBFBF,mendocina,26
sid-45(mendocina),1,0,nan,#BFBFBF,mendocina,45
sid-66(mendocina),1,0,nan,#BFBFBF,mendocina,66
sid-87(mendocina),1,0,nan,#BFBFBF,mendocina,87
Cheater-r(1):b26(mendocina),0,1,3,#FF0000,mendocina,0|3
Cheater-r(4):b49(mendocina),0,1,3,#FFFFFF,mendocina,0|6;45;66;87
Cheater-r(4):b50(mendocina),0,2,3,#806000,mendocina,0|6;45;87
Cheater-r(3):b52(mendocina),0,1,3,#FFFFFF,mendocina,0|6;87
Cheater-r(1):b75(mendocina),0,1,3,#FFFFFF,mendocina,0|26
sid-1(nitroreducens),1,0,nan,#191970,nitroreducens,1
sid-24(nitroreducens),1,0,nan,#BFBFBF,nitroreducens,24
sid-38(nitroreducens),1,0,nan,#BFBFBF,nitroreducens,38
sid-45(nitroreducens),1,0,nan,#BFBFBF,nitroreducens,45
sid-55(nitroreducens),1,0,nan,#BFBFBF,nitroreducens,55
sid-58(nitroreducens),1,0,nan,#BFBFBF,nitroreducens,58
sid-66(nitroreducens),1,0,nan,#BFBFBF,nitroreducens,66
sid-80(nitroreducens),1,0,nan,#808000,nitroreducens,80
sid-92(nitroreducens),1,0,nan,#FF8C00,nitroreducens,92
sid-93(nitroreducens),1,0,nan,#BFBFBF,nitroreducens,93
sid-94(nitroreducens),1,0,nan,#7FFF00,nitroreducens,94
Cheater-r(11):b17(nitroreducens),0,1,3,#FFBF00,nitroreducens,0|1;24;38;45;55;58;66;80;92;93;94
Cheater-r(5):b19(nitroreducens),0,1,3,#0000FF,nitroreducens,0|1;24;38;66;94
Cheater-r(4):b20(nitroreducens),0,3,3,#554000,nitroreducens,0|1;24;38;94
Cheater-r(2):b73(nitroreducens),0,1,3,#FFBF00,nitroreducens,0|24;94
sid-1(synxantha),1,0,nan,#191970,synxantha,1
sid-3(synxantha),1,0,nan,#FF0000,synxantha,3
sid-37(synxantha),1,0,nan,#00BFFF,synxantha,37
sid-69(synxantha),1,0,nan,#BFBFBF,synxantha,69
sid-78(synxantha),1,2,nan,#BFBFBF,synxantha,78
sid-91(synxantha),1,4,nan,#FF00FF,synxantha,91
sid-94(synxantha),1,0,nan,#7FFF00,synxantha,94
Partial-s78-r(5):b271(synxantha),0,2,2,#FFBF00,synxantha,78|1;37;69;78;94
Partial-s91-r(5):b375(synxantha),0,1,2,#FFBF00,synxantha,91|1;37;78;91;94
Partial-s91-r(5):b386(synxantha),0,1,2,#FFBF00,synxantha,91|3;37;69;91;94
Partial-s91-r(2):b397(synxantha),0,2,2,#FFDF80,synxantha,91|91;94
