source,target,isproduce,edgesize,edgecolor,species
sid-80(putida),Partial-s76-r(11):b261(putida),0,1,#808000,putida
sid-90(putida),Partial-s76-r(11):b261(putida),0,1,#0000CD,putida
sid-94(putida),Partial-s76-r(11):b261(putida),0,1,#7FFF00,putida
Pure-s76:b264(putida),sid-76(putida),1,3,#000000,putida
sid-76(putida),Pure-s76:b264(putida),0,1,#2E8B57,putida
Partial-s76-r(2):b265(putida),sid-76(putida),1,1,#000000,putida
sid-76(putida),Partial-s76-r(2):b265(putida),0,1,#2E8B57,putida
sid-86(putida),Partial-s76-r(2):b265(putida),0,1,#BFBFBF,putida
Pure-s80:b281(putida),sid-80(putida),1,1,#000000,putida
sid-80(putida),Pure-s80:b281(putida),0,1,#808000,putida
Partial-s81-r(8):b284(putida),sid-81(putida),1,1,#000000,putida
sid-3(putida),Partial-s81-r(8):b284(putida),0,1,#FF0000,putida
sid-36(putida),Partial-s81-r(8):b284(putida),0,1,#DDA0DD,putida
sid-72(putida),Partial-s81-r(8):b284(putida),0,1,#4169E1,putida
sid-78(putida),Partial-s81-r(8):b284(putida),0,1,#BFBFBF,putida
sid-81(putida),Partial-s81-r(8):b284(putida),0,1,#BFBFBF,putida
sid-86(putida),Partial-s81-r(8):b284(putida),0,1,#BFBFBF,putida
sid-91(putida),Partial-s81-r(8):b284(putida),0,1,#FF00FF,putida
sid-94(putida),Partial-s81-r(8):b284(putida),0,1,#7FFF00,putida
Partial-s87-r(5):b302(putida),sid-87(putida),1,1,#000000,putida
sid-36(putida),Partial-s87-r(5):b302(putida),0,1,#DDA0DD,putida
sid-45(putida),Partial-s87-r(5):b302(putida),0,1,#BFBFBF,putida
sid-70(putida),Partial-s87-r(5):b302(putida),0,1,#00FA9A,putida
sid-87(putida),Partial-s87-r(5):b302(putida),0,1,#BFBFBF,putida
sid-94(putida),Partial-s87-r(5):b302(putida),0,1,#7FFF00,putida
Partial-s87-r(4):b303(putida),sid-87(putida),1,1,#000000,putida
sid-37(putida),Partial-s87-r(4):b303(putida),0,1,#00BFFF,putida
sid-45(putida),Partial-s87-r(4):b303(putida),0,1,#BFBFBF,putida
sid-87(putida),Partial-s87-r(4):b303(putida),0,1,#BFBFBF,putida
sid-94(putida),Partial-s87-r(4):b303(putida),0,1,#7FFF00,putida
Partial-s87-r(2):b304(putida),sid-87(putida),1,1,#000000,putida
sid-37(putida),Partial-s87-r(2):b304(putida),0,1,#00BFFF,putida
sid-87(putida),Partial-s87-r(2):b304(putida),0,1,#BFBFBF,putida
Partial-s90-r(3):b324(putida),sid-90(putida),1,2,#000000,putida
sid-36(putida),Partial-s90-r(3):b324(putida),0,1,#DDA0DD,putida
sid-90(putida),Partial-s90-r(3):b324(putida),0,1,#0000CD,putida
sid-94(putida),Partial-s90-r(3):b324(putida),0,1,#7FFF00,putida
Pure-s92:b411(putida),sid-92(putida),1,1,#000000,putida
sid-92(putida),Pure-s92:b411(putida),0,1,#FF8C00,putida
Partial-s68-r(6):b226(protegens),sid-68(protegens),1,3,#000000,protegens
sid-3(protegens),Partial-s68-r(6):b226(protegens),0,1,#FF0000,protegens
sid-68(protegens),Partial-s68-r(6):b226(protegens),0,1,#F08080,protegens
sid-72(protegens),Partial-s68-r(6):b226(protegens),0,1,#4169E1,protegens
sid-90(protegens),Partial-s68-r(6):b226(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s68-r(6):b226(protegens),0,1,#FF00FF,protegens
sid-91(protegens),Partial-s68-r(6):b226(protegens),0,1,#FF00FF,protegens
Partial-s68-r(7):b227(protegens),sid-68(protegens),1,5,#000000,protegens
sid-3(protegens),Partial-s68-r(7):b227(protegens),0,1,#FF0000,protegens
sid-68(protegens),Partial-s68-r(7):b227(protegens),0,1,#F08080,protegens
sid-72(protegens),Partial-s68-r(7):b227(protegens),0,1,#4169E1,protegens
sid-90(protegens),Partial-s68-r(7):b227(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s68-r(7):b227(protegens),0,1,#FF00FF,protegens
sid-91(protegens),Partial-s68-r(7):b227(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s68-r(7):b227(protegens),0,1,#7FFF00,protegens
Partial-s68-r(6):b228(protegens),sid-68(protegens),1,1,#000000,protegens
sid-3(protegens),Partial-s68-r(6):b228(protegens),0,1,#FF0000,protegens
sid-68(protegens),Partial-s68-r(6):b228(protegens),0,1,#F08080,protegens
sid-81(protegens),Partial-s68-r(6):b228(protegens),0,1,#BFBFBF,protegens
sid-90(protegens),Partial-s68-r(6):b228(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s68-r(6):b228(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s68-r(6):b228(protegens),0,1,#7FFF00,protegens
Partial-s68-r(4):b229(protegens),sid-68(protegens),1,1,#000000,protegens
sid-3(protegens),Partial-s68-r(4):b229(protegens),0,1,#FF0000,protegens
sid-68(protegens),Partial-s68-r(4):b229(protegens),0,1,#F08080,protegens
sid-90(protegens),Partial-s68-r(4):b229(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s68-r(4):b229(protegens),0,1,#FF00FF,protegens
Partial-s68-r(6):b230(protegens),sid-68(protegens),1,4,#000000,protegens
sid-3(protegens),Partial-s68-r(6):b230(protegens),0,1,#FF0000,protegens
sid-68(protegens),Partial-s68-r(6):b230(protegens),0,1,#F08080,protegens
sid-90(protegens),Partial-s68-r(6):b230(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s68-r(6):b230(protegens),0,1,#FF00FF,protegens
sid-91(protegens),Partial-s68-r(6):b230(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s68-r(6):b230(protegens),0,1,#7FFF00,protegens
Partial-s68-r(5):b231(protegens),sid-68(protegens),1,1,#000000,protegens
sid-3(protegens),Partial-s68-r(5):b231(protegens),0,1,#FF0000,protegens
sid-68(protegens),Partial-s68-r(5):b231(protegens),0,1,#F08080,protegens
sid-90(protegens),Partial-s68-r(5):b231(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s68-r(5):b231(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s68-r(5):b231(protegens),0,1,#7FFF00,protegens
Partial-s68-r(5):b232(protegens),sid-68(protegens),1,1,#000000,protegens
sid-3(protegens),Partial-s68-r(5):b232(protegens),0,1,#FF0000,protegens
sid-68(protegens),Partial-s68-r(5):b232(protegens),0,1,#F08080,protegens
sid-91(protegens),Partial-s68-r(5):b232(protegens),0,1,#FF00FF,protegens
sid-91(protegens),Partial-s68-r(5):b232(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s68-r(5):b232(protegens),0,1,#7FFF00,protegens
Partial-s81-r(7):b283(protegens),sid-81(protegens),1,1,#000000,protegens
sid-3(protegens),Partial-s81-r(7):b283(protegens),0,1,#FF0000,protegens
sid-36(protegens),Partial-s81-r(7):b283(protegens),0,1,#DDA0DD,protegens
sid-68(protegens),Partial-s81-r(7):b283(protegens),0,1,#F08080,protegens
sid-81(protegens),Partial-s81-r(7):b283(protegens),0,1,#BFBFBF,protegens
sid-90(protegens),Partial-s81-r(7):b283(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s81-r(7):b283(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s81-r(7):b283(protegens),0,1,#7FFF00,protegens
Partial-s81-r(6):b285(protegens),sid-81(protegens),1,1,#000000,protegens
sid-3(protegens),Partial-s81-r(6):b285(protegens),0,1,#FF0000,protegens
sid-36(protegens),Partial-s81-r(6):b285(protegens),0,1,#DDA0DD,protegens
sid-81(protegens),Partial-s81-r(6):b285(protegens),0,1,#BFBFBF,protegens
sid-90(protegens),Partial-s81-r(6):b285(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s81-r(6):b285(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s81-r(6):b285(protegens),0,1,#7FFF00,protegens
Partial-s81-r(6):b288(protegens),sid-81(protegens),1,1,#000000,protegens
sid-3(protegens),Partial-s81-r(6):b288(protegens),0,1,#FF0000,protegens
sid-72(protegens),Partial-s81-r(6):b288(protegens),0,1,#4169E1,protegens
sid-81(protegens),Partial-s81-r(6):b288(protegens),0,1,#BFBFBF,protegens
sid-91(protegens),Partial-s81-r(6):b288(protegens),0,1,#FF00FF,protegens
sid-91(protegens),Partial-s81-r(6):b288(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s81-r(6):b288(protegens),0,1,#7FFF00,protegens
Partial-s81-r(6):b289(protegens),sid-81(protegens),1,2,#000000,protegens
sid-3(protegens),Partial-s81-r(6):b289(protegens),0,1,#FF0000,protegens
sid-81(protegens),Partial-s81-r(6):b289(protegens),0,1,#BFBFBF,protegens
sid-90(protegens),Partial-s81-r(6):b289(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s81-r(6):b289(protegens),0,1,#FF00FF,protegens
sid-91(protegens),Partial-s81-r(6):b289(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s81-r(6):b289(protegens),0,1,#7FFF00,protegens
Partial-s81-r(5):b290(protegens),sid-81(protegens),1,2,#000000,protegens
sid-3(protegens),Partial-s81-r(5):b290(protegens),0,1,#FF0000,protegens
sid-81(protegens),Partial-s81-r(5):b290(protegens),0,1,#BFBFBF,protegens
sid-90(protegens),Partial-s81-r(5):b290(protegens),0,1,#0000CD,protegens
sid-91(protegens),Partial-s81-r(5):b290(protegens),0,1,#FF00FF,protegens
sid-94(protegens),Partial-s81-r(5):b290(protegens),0,1,#7FFF00,protegens
sid-3(fragi),Cheater-r(5):b34(fragi),0,1,#FF0000,fragi
sid-58(fragi),Cheater-r(5):b34(fragi),0,1,#BFBFBF,fragi
sid-90(fragi),Cheater-r(5):b34(fragi),0,1,#0000CD,fragi
sid-91(fragi),Cheater-r(5):b34(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(5):b34(fragi),0,1,#FF00FF,fragi
sid-3(fragi),Cheater-r(6):b35(fragi),0,1,#FF0000,fragi
sid-58(fragi),Cheater-r(6):b35(fragi),0,1,#BFBFBF,fragi
sid-90(fragi),Cheater-r(6):b35(fragi),0,1,#0000CD,fragi
sid-91(fragi),Cheater-r(6):b35(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(6):b35(fragi),0,1,#FF00FF,fragi
sid-94(fragi),Cheater-r(6):b35(fragi),0,1,#7FFF00,fragi
sid-3(fragi),Cheater-r(6):b38(fragi),0,1,#FF0000,fragi
sid-77(fragi),Cheater-r(6):b38(fragi),0,1,#BFBFBF,fragi
sid-90(fragi),Cheater-r(6):b38(fragi),0,1,#0000CD,fragi
sid-91(fragi),Cheater-r(6):b38(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(6):b38(fragi),0,1,#FF00FF,fragi
sid-94(fragi),Cheater-r(6):b38(fragi),0,1,#7FFF00,fragi
sid-3(fragi),Cheater-r(5):b40(fragi),0,1,#FF0000,fragi
sid-90(fragi),Cheater-r(5):b40(fragi),0,1,#0000CD,fragi
sid-91(fragi),Cheater-r(5):b40(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(5):b40(fragi),0,1,#FF00FF,fragi
sid-94(fragi),Cheater-r(5):b40(fragi),0,1,#7FFF00,fragi
sid-77(fragi),Cheater-r(3):b101(fragi),0,1,#BFBFBF,fragi
sid-90(fragi),Cheater-r(3):b101(fragi),0,1,#0000CD,fragi
sid-91(fragi),Cheater-r(3):b101(fragi),0,1,#FF00FF,fragi
sid-77(fragi),Cheater-r(5):b103(fragi),0,1,#BFBFBF,fragi
sid-90(fragi),Cheater-r(5):b103(fragi),0,1,#0000CD,fragi
sid-91(fragi),Cheater-r(5):b103(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(5):b103(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(5):b103(fragi),0,1,#FF00FF,fragi
sid-77(fragi),Cheater-r(6):b104(fragi),0,1,#BFBFBF,fragi
sid-90(fragi),Cheater-r(6):b104(fragi),0,1,#0000CD,fragi
sid-91(fragi),Cheater-r(6):b104(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(6):b104(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(6):b104(fragi),0,1,#FF00FF,fragi
sid-94(fragi),Cheater-r(6):b104(fragi),0,1,#7FFF00,fragi
sid-77(fragi),Cheater-r(4):b105(fragi),0,1,#BFBFBF,fragi
sid-91(fragi),Cheater-r(4):b105(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(4):b105(fragi),0,1,#FF00FF,fragi
sid-91(fragi),Cheater-r(4):b105(fragi),0,1,#FF00FF,fragi
sid-1(stutzeri),Cheater-r(1):b1(stutzeri),0,1,#191970,stutzeri
sid-24(stutzeri),Cheater-r(1):b66(stutzeri),0,1,#BFBFBF,stutzeri
sid-26(stutzeri),Cheater-r(1):b75(stutzeri),0,1,#BFBFBF,stutzeri
sid-87(stutzeri),Cheater-r(2):b108(stutzeri),0,1,#BFBFBF,stutzeri
sid-91(stutzeri),Cheater-r(2):b108(stutzeri),0,1,#FF00FF,stutzeri
Partial-s92-r(2):b409(stutzeri),sid-92(stutzeri),1,2,#000000,stutzeri
sid-90(stutzeri),Partial-s92-r(2):b409(stutzeri),0,1,#0000CD,stutzeri
sid-92(stutzeri),Partial-s92-r(2):b409(stutzeri),0,1,#FF8C00,stutzeri
Pure-s35:b163(amygdali),sid-35(amygdali),1,15,#000000,amygdali
sid-35(amygdali),Pure-s35:b163(amygdali),0,1,#00FFFF,amygdali
Partial-s3-r(3):b126(chlororaphis),sid-3(chlororaphis),1,1,#000000,chlororaphis
sid-1(chlororaphis),Partial-s3-r(3):b126(chlororaphis),0,1,#191970,chlororaphis
sid-3(chlororaphis),Partial-s3-r(3):b126(chlororaphis),0,1,#FF0000,chlororaphis
sid-4(chlororaphis),Partial-s3-r(3):b126(chlororaphis),0,1,#BFBFBF,chlororaphis
Partial-s36-r(5):b172(chlororaphis),sid-36(chlororaphis),1,1,#000000,chlororaphis
sid-1(chlororaphis),Partial-s36-r(5):b172(chlororaphis),0,1,#191970,chlororaphis
sid-3(chlororaphis),Partial-s36-r(5):b172(chlororaphis),0,1,#FF0000,chlororaphis
sid-36(chlororaphis),Partial-s36-r(5):b172(chlororaphis),0,1,#DDA0DD,chlororaphis
sid-90(chlororaphis),Partial-s36-r(5):b172(chlororaphis),0,1,#0000CD,chlororaphis
sid-94(chlororaphis),Partial-s36-r(5):b172(chlororaphis),0,1,#7FFF00,chlororaphis
Partial-s68-r(6):b225(chlororaphis),sid-68(chlororaphis),1,1,#000000,chlororaphis
sid-3(chlororaphis),Partial-s68-r(6):b225(chlororaphis),0,1,#FF0000,chlororaphis
sid-37(chlororaphis),Partial-s68-r(6):b225(chlororaphis),0,1,#00BFFF,chlororaphis
sid-68(chlororaphis),Partial-s68-r(6):b225(chlororaphis),0,1,#F08080,chlororaphis
sid-72(chlororaphis),Partial-s68-r(6):b225(chlororaphis),0,1,#4169E1,chlororaphis
sid-90(chlororaphis),Partial-s68-r(6):b225(chlororaphis),0,1,#0000CD,chlororaphis
sid-94(chlororaphis),Partial-s68-r(6):b225(chlororaphis),0,1,#7FFF00,chlororaphis
Pure-s68:b234(chlororaphis),sid-68(chlororaphis),1,1,#000000,chlororaphis
sid-68(chlororaphis),Pure-s68:b234(chlororaphis),0,1,#F08080,chlororaphis
Partial-s68-r(3):b235(chlororaphis),sid-68(chlororaphis),1,1,#000000,chlororaphis
sid-68(chlororaphis),Partial-s68-r(3):b235(chlororaphis),0,1,#F08080,chlororaphis
sid-90(chlororaphis),Partial-s68-r(3):b235(chlororaphis),0,1,#0000CD,chlororaphis
sid-94(chlororaphis),Partial-s68-r(3):b235(chlororaphis),0,1,#7FFF00,chlororaphis
Partial-s68-r(2):b236(chlororaphis),sid-68(chlororaphis),1,6,#000000,chlororaphis
sid-68(chlororaphis),Partial-s68-r(2):b236(chlororaphis),0,1,#F08080,chlororaphis
sid-94(chlororaphis),Partial-s68-r(2):b236(chlororaphis),0,1,#7FFF00,chlororaphis
Partial-s91-r(3):b392(chlororaphis),sid-91(chlororaphis),1,3,#000000,chlororaphis
sid-37(chlororaphis),Partial-s91-r(3):b392(chlororaphis),0,1,#00BFFF,chlororaphis
sid-91(chlororaphis),Partial-s91-r(3):b392(chlororaphis),0,1,#FF00FF,chlororaphis
sid-94(chlororaphis),Partial-s91-r(3):b392(chlororaphis),0,1,#7FFF00,chlororaphis
Partial-s91-r(2):b397(chlororaphis),sid-91(chlororaphis),1,1,#000000,chlororaphis
sid-91(chlororaphis),Partial-s91-r(2):b397(chlororaphis),0,1,#FF00FF,chlororaphis
sid-94(chlororaphis),Partial-s91-r(2):b397(chlororaphis),0,1,#7FFF00,chlororaphis
Partial-s3-r(2):b124(koreensis),sid-3(koreensis),1,1,#000000,koreensis
sid-1(koreensis),Partial-s3-r(2):b124(koreensis),0,1,#191970,koreensis
sid-3(koreensis),Partial-s3-r(2):b124(koreensis),0,1,#FF0000,koreensis
Partial-s3-r(3):b129(koreensis),sid-3(koreensis),1,1,#000000,koreensis
sid-1(koreensis),Partial-s3-r(3):b129(koreensis),0,1,#191970,koreensis
sid-3(koreensis),Partial-s3-r(3):b129(koreensis),0,1,#FF0000,koreensis
sid-90(koreensis),Partial-s3-r(3):b129(koreensis),0,1,#0000CD,koreensis
Partial-s3-r(4):b130(koreensis),sid-3(koreensis),1,1,#000000,koreensis
sid-1(koreensis),Partial-s3-r(4):b130(koreensis),0,1,#191970,koreensis
sid-3(koreensis),Partial-s3-r(4):b130(koreensis),0,1,#FF0000,koreensis
sid-90(koreensis),Partial-s3-r(4):b130(koreensis),0,1,#0000CD,koreensis
sid-94(koreensis),Partial-s3-r(4):b130(koreensis),0,1,#7FFF00,koreensis
Pure-s3:b131(koreensis),sid-3(koreensis),1,2,#000000,koreensis
sid-3(koreensis),Pure-s3:b131(koreensis),0,1,#FF0000,koreensis
Partial-s90-r(2):b308(koreensis),sid-90(koreensis),1,3,#000000,koreensis
sid-1(koreensis),Partial-s90-r(2):b308(koreensis),0,1,#191970,koreensis
sid-90(koreensis),Partial-s90-r(2):b308(koreensis),0,1,#0000CD,koreensis
Pure-s90:b331(koreensis),sid-90(koreensis),1,1,#000000,koreensis
sid-90(koreensis),Pure-s90:b331(koreensis),0,1,#0000CD,koreensis
Partial-s91-r(5):b371(koreensis),sid-91(koreensis),1,1,#000000,koreensis
sid-1(koreensis),Partial-s91-r(5):b371(koreensis),0,1,#191970,koreensis
sid-3(koreensis),Partial-s91-r(5):b371(koreensis),0,1,#FF0000,koreensis
sid-37(koreensis),Partial-s91-r(5):b371(koreensis),0,1,#00BFFF,koreensis
sid-91(koreensis),Partial-s91-r(5):b371(koreensis),0,1,#FF00FF,koreensis
sid-94(koreensis),Partial-s91-r(5):b371(koreensis),0,1,#7FFF00,koreensis
Partial-s94-r(2):b418(koreensis),sid-94(koreensis),1,1,#000000,koreensis
sid-1(koreensis),Partial-s94-r(2):b418(koreensis),0,1,#191970,koreensis
sid-94(koreensis),Partial-s94-r(2):b418(koreensis),0,1,#7FFF00,koreensis
Pure-s94:b422(koreensis),sid-94(koreensis),1,4,#000000,koreensis
sid-94(koreensis),Pure-s94:b422(koreensis),0,1,#7FFF00,koreensis
sid-24(psychrotolerans),Cheater-r(3):b68(psychrotolerans),0,1,#BFBFBF,psychrotolerans
sid-56(psychrotolerans),Cheater-r(3):b68(psychrotolerans),0,1,#BFBFBF,psychrotolerans
sid-56(psychrotolerans),Cheater-r(2):b78(psychrotolerans),0,1,#BFBFBF,psychrotolerans
sid-56(psychrotolerans),Cheater-r(1):b96(psychrotolerans),0,1,#BFBFBF,psychrotolerans
Partial-s56-r(4):b212(psychrotolerans),sid-56(psychrotolerans),1,1,#000000,psychrotolerans
sid-56(psychrotolerans),Partial-s56-r(4):b212(psychrotolerans),0,1,#BFBFBF,psychrotolerans
sid-85(psychrotolerans),Partial-s56-r(4):b212(psychrotolerans),0,1,#BFBFBF,psychrotolerans
sid-90(psychrotolerans),Partial-s56-r(4):b212(psychrotolerans),0,1,#0000CD,psychrotolerans
sid-93(psychrotolerans),Partial-s56-r(4):b212(psychrotolerans),0,1,#BFBFBF,psychrotolerans
Partial-s3-r(3):b126(brassicacearum),sid-3(brassicacearum),1,1,#000000,brassicacearum
sid-1(brassicacearum),Partial-s3-r(3):b126(brassicacearum),0,1,#191970,brassicacearum
sid-3(brassicacearum),Partial-s3-r(3):b126(brassicacearum),0,1,#FF0000,brassicacearum
sid-4(brassicacearum),Partial-s3-r(3):b126(brassicacearum),0,1,#BFBFBF,brassicacearum
Partial-s4-r(2):b139(brassicacearum),sid-4(brassicacearum),1,1,#000000,brassicacearum
sid-1(brassicacearum),Partial-s4-r(2):b139(brassicacearum),0,1,#191970,brassicacearum
sid-4(brassicacearum),Partial-s4-r(2):b139(brassicacearum),0,1,#BFBFBF,brassicacearum
Partial-s4-r(2):b142(brassicacearum),sid-4(brassicacearum),1,2,#000000,brassicacearum
sid-4(brassicacearum),Partial-s4-r(2):b142(brassicacearum),0,1,#BFBFBF,brassicacearum
sid-94(brassicacearum),Partial-s4-r(2):b142(brassicacearum),0,1,#7FFF00,brassicacearum
Pure-s36:b179(brassicacearum),sid-36(brassicacearum),1,1,#000000,brassicacearum
sid-36(brassicacearum),Pure-s36:b179(brassicacearum),0,1,#DDA0DD,brassicacearum
Partial-s36-r(2):b182(brassicacearum),sid-36(brassicacearum),1,6,#000000,brassicacearum
sid-36(brassicacearum),Partial-s36-r(2):b182(brassicacearum),0,1,#DDA0DD,brassicacearum
sid-94(brassicacearum),Partial-s36-r(2):b182(brassicacearum),0,1,#7FFF00,brassicacearum
Pure-s90:b331(brassicacearum),sid-90(brassicacearum),1,2,#000000,brassicacearum
sid-90(brassicacearum),Pure-s90:b331(brassicacearum),0,1,#0000CD,brassicacearum
Partial-s35-r(2):b159(coronafaciens),sid-35(coronafaciens),1,10,#000000,coronafaciens
sid-2(coronafaciens),Partial-s35-r(2):b159(coronafaciens),0,1,#FFFF54,coronafaciens
sid-35(coronafaciens),Partial-s35-r(2):b159(coronafaciens),0,1,#00FFFF,coronafaciens
Pure-s35:b163(coronafaciens),sid-35(coronafaciens),1,1,#000000,coronafaciens
sid-35(coronafaciens),Pure-s35:b163(coronafaciens),0,1,#00FFFF,coronafaciens
sid-24(oryzihabitans),Cheater-r(3):b72(oryzihabitans),0,1,#BFBFBF,oryzihabitans
sid-56(oryzihabitans),Cheater-r(3):b72(oryzihabitans),0,1,#BFBFBF,oryzihabitans
sid-93(oryzihabitans),Cheater-r(3):b72(oryzihabitans),0,1,#BFBFBF,oryzihabitans
sid-56(oryzihabitans),Cheater-r(1):b96(oryzihabitans),0,1,#BFBFBF,oryzihabitans
sid-56(oryzihabitans),Cheater-r(2):b97(oryzihabitans),0,1,#BFBFBF,oryzihabitans
sid-93(oryzihabitans),Cheater-r(2):b97(oryzihabitans),0,1,#BFBFBF,oryzihabitans
sid-90(frederiksbergensis),Cheater-r(2):b112(frederiksbergensis),0,1,#0000CD,frederiksbergensis
sid-94(frederiksbergensis),Cheater-r(2):b112(frederiksbergensis),0,1,#7FFF00,frederiksbergensis
Partial-s3-r(2):b136(frederiksbergensis),sid-3(frederiksbergensis),1,1,#000000,frederiksbergensis
sid-3(frederiksbergensis),Partial-s3-r(2):b136(frederiksbergensis),0,1,#FF0000,frederiksbergensis
sid-90(frederiksbergensis),Partial-s3-r(2):b136(frederiksbergensis),0,1,#0000CD,frederiksbergensis
Pure-s36:b179(frederiksbergensis),sid-36(frederiksbergensis),1,5,#000000,frederiksbergensis
sid-36(frederiksbergensis),Pure-s36:b179(frederiksbergensis),0,1,#DDA0DD,frederiksbergensis
Pure-s94:b422(frederiksbergensis),sid-94(frederiksbergensis),1,2,#000000,frederiksbergensis
sid-94(frederiksbergensis),Pure-s94:b422(frederiksbergensis),0,1,#7FFF00,frederiksbergensis
sid-1(savastanoi),Cheater-r(5):b8(savastanoi),0,1,#191970,savastanoi
sid-2(savastanoi),Cheater-r(5):b8(savastanoi),0,1,#FFFF54,savastanoi
sid-35(savastanoi),Cheater-r(5):b8(savastanoi),0,1,#00FFFF,savastanoi
sid-45(savastanoi),Cheater-r(5):b8(savastanoi),0,1,#BFBFBF,savastanoi
Pure-s35:b163(savastanoi),sid-35(savastanoi),1,9,#000000,savastanoi
sid-35(savastanoi),Pure-s35:b163(savastanoi),0,1,#00FFFF,savastanoi
Pure-s3:b131(moraviensis),sid-3(moraviensis),1,2,#000000,moraviensis
sid-3(moraviensis),Pure-s3:b131(moraviensis),0,1,#FF0000,moraviensis
Partial-s94-r(2):b418(moraviensis),sid-94(moraviensis),1,4,#000000,moraviensis
sid-1(moraviensis),Partial-s94-r(2):b418(moraviensis),0,1,#191970,moraviensis
sid-94(moraviensis),Partial-s94-r(2):b418(moraviensis),0,1,#7FFF00,moraviensis
Pure-s94:b422(moraviensis),sid-94(moraviensis),1,3,#000000,moraviensis
sid-94(moraviensis),Pure-s94:b422(moraviensis),0,1,#7FFF00,moraviensis
Partial-s90-r(2):b332(lundensis),sid-90(lundensis),1,1,#000000,lundensis
sid-90(lundensis),Partial-s90-r(2):b332(lundensis),0,1,#0000CD,lundensis
sid-91(lundensis),Partial-s90-r(2):b332(lundensis),0,1,#FF00FF,lundensis
Partial-s90-r(4):b333(lundensis),sid-90(lundensis),1,6,#000000,lundensis
sid-90(lundensis),Partial-s90-r(4):b333(lundensis),0,1,#0000CD,lundensis
sid-91(lundensis),Partial-s90-r(4):b333(lundensis),0,1,#FF00FF,lundensis
sid-91(lundensis),Partial-s90-r(4):b333(lundensis),0,1,#FF00FF,lundensis
sid-94(lundensis),Partial-s90-r(4):b333(lundensis),0,1,#7FFF00,lundensis
Partial-s90-r(2):b335(lundensis),sid-90(lundensis),1,1,#000000,lundensis
sid-90(lundensis),Partial-s90-r(2):b335(lundensis),0,1,#0000CD,lundensis
sid-94(lundensis),Partial-s90-r(2):b335(lundensis),0,1,#7FFF00,lundensis
Pure-s36:b179(mandelii),sid-36(mandelii),1,1,#000000,mandelii
sid-36(mandelii),Pure-s36:b179(mandelii),0,1,#DDA0DD,mandelii
Partial-s72-r(3):b248(mandelii),sid-72(mandelii),1,1,#000000,mandelii
sid-1(mandelii),Partial-s72-r(3):b248(mandelii),0,1,#191970,mandelii
sid-72(mandelii),Partial-s72-r(3):b248(mandelii),0,1,#4169E1,mandelii
sid-90(mandelii),Partial-s72-r(3):b248(mandelii),0,1,#0000CD,mandelii
Pure-s90:b331(mandelii),sid-90(mandelii),1,6,#000000,mandelii
sid-90(mandelii),Pure-s90:b331(mandelii),0,1,#0000CD,mandelii
Partial-s66-r(5):b219(monteilii),sid-66(monteilii),1,1,#000000,monteilii
sid-1(monteilii),Partial-s66-r(5):b219(monteilii),0,1,#191970,monteilii
sid-35(monteilii),Partial-s66-r(5):b219(monteilii),0,1,#00FFFF,monteilii
sid-38(monteilii),Partial-s66-r(5):b219(monteilii),0,1,#BFBFBF,monteilii
sid-66(monteilii),Partial-s66-r(5):b219(monteilii),0,1,#BFBFBF,monteilii
sid-94(monteilii),Partial-s66-r(5):b219(monteilii),0,1,#7FFF00,monteilii
Partial-s66-r(5):b220(monteilii),sid-66(monteilii),1,1,#000000,monteilii
sid-1(monteilii),Partial-s66-r(5):b220(monteilii),0,1,#191970,monteilii
sid-35(monteilii),Partial-s66-r(5):b220(monteilii),0,1,#00FFFF,monteilii
sid-66(monteilii),Partial-s66-r(5):b220(monteilii),0,1,#BFBFBF,monteilii
