rec,groupid,straintype,candself,nearesttype,color
134,91,1,1,N296-2471(1),#FF00FF
135,3,1,1,PAM18-2643(2),#FF0000
136,3,1,1,PAM18-2643(2),#FF0000
137,3,1,1,PAM18-2643(2),#FF0000
138,91,1,0,N296-2471(1),#FF00FF
139,3,1,1,PAM18-2643(2),#FF0000
140,3,1,1,PAM18-2643(2),#FF0000
141,3,1,1,PAM18-2643(2),#FF0000
142,91,1,0,N296-2471(1),#FF00FF
143,3,1,1,PAM18-2643(2),#FF0000
144,3,1,1,PAM18-2643(2),#FF0000
145,3,1,1,PAM18-2643(2),#FF0000
146,3,1,1,PAM18-2643(2),#FF0000
147,39,1,1,PALES-28981(3),#7F007F
148,3,1,1,PAM18-2643(2),#FF0000
149,3,1,1,PAM18-2643(2),#FF0000
150,3,1,1,PAM18-2643(2),#FF0000
151,3,1,1,PAM18-2643(2),#FF0000
152,3,1,1,PAM18-2643(2),#FF0000
153,3,1,1,PAM18-2643(2),#FF0000
154,91,1,1,N296-2471(1),#FF00FF
155,91,1,0,N296-2471(1),#FF00FF
156,91,1,1,N296-2471(1),#FF00FF
157,91,1,1,N296-2471(1),#FF00FF
158,3,1,1,PAM18-2643(2),#FF0000
159,3,1,1,PAM18-2643(2),#FF0000
160,3,1,1,PAM18-2643(2),#FF0000
161,91,1,1,N296-2471(1),#FF00FF
162,3,1,1,PAM18-2643(2),#FF0000
163,3,1,1,PAM18-2643(2),#FF0000
164,3,1,0,PAM18-2643(2),#FF0000
165,3,1,1,PAM18-2643(2),#FF0000
166,3,1,1,PAM18-2643(2),#FF0000
167,3,1,1,PAM18-2643(2),#FF0000
168,3,1,1,PAM18-2643(2),#FF0000
169,3,1,1,PAM18-2643(2),#FF0000
170,3,1,1,PAM18-2643(2),#FF0000
171,3,1,1,PAM18-2643(2),#FF0000
172,3,1,1,PAM18-2643(2),#FF0000
173,3,1,0,PAM18-2643(2),#FF0000
174,3,1,1,PAM18-2643(2),#FF0000
175,91,1,1,N296-2471(1),#FF00FF
176,3,1,0,PAM18-2643(2),#FF0000
177,3,1,0,PAM18-2643(2),#FF0000
178,3,1,1,PAM18-2643(2),#FF0000
179,3,1,1,PAM18-2643(2),#FF0000
180,3,1,1,PAM18-2643(2),#FF0000
181,3,1,1,PAM18-2643(2),#FF0000
182,3,1,1,PAM18-2643(2),#FF0000
183,3,1,1,PAM18-2643(2),#FF0000
184,91,1,1,N296-2471(1),#FF00FF
185,39,1,1,PALES-28981(3),#7F007F
186,3,1,1,PAM18-2643(2),#FF0000
187,3,1,1,PAM18-2643(2),#FF0000
188,91,1,1,N296-2471(1),#FF00FF
189,3,1,1,PAM18-2643(2),#FF0000
190,3,1,1,PAM18-2643(2),#FF0000
191,3,1,1,PAM18-2643(2),#FF0000
192,91,1,1,N296-2471(1),#FF00FF
193,39,1,1,PALES-28981(3),#7F007F
194,39,1,0,PALES-28981(3),#7F007F
195,3,1,1,PAM18-2643(2),#FF0000
196,39,1,1,PALES-28981(3),#7F007F
197,3,1,1,PAM18-2643(2),#FF0000
198,3,1,1,PAM18-2643(2),#FF0000
199,39,1,1,PALES-28981(3),#7F007F
200,91,1,1,N296-2471(1),#FF00FF
201,3,1,1,PAM18-2643(2),#FF0000
202,91,1,1,N296-2471(1),#FF00FF
203,3,1,1,PAM18-2643(2),#FF0000
204,39,1,1,PALES-28981(3),#7F007F
205,39,1,1,PALES-28981(3),#7F007F
206,3,1,1,PAM18-2643(2),#FF0000
207,3,1,0,PAM18-2643(2),#FF0000
208,3,1,1,PAM18-2643(2),#FF0000
209,91,1,1,N296-2471(1),#FF00FF
210,3,1,1,PAM18-2643(2),#FF0000
211,3,1,1,PAM18-2643(2),#FF0000
212,39,1,1,PALES-28981(3),#7F007F
213,91,1,1,N296-2471(1),#FF00FF
214,91,1,1,N296-2471(1),#FF00FF
215,39,1,1,PALES-28981(3),#7F007F
216,3,1,1,PAM18-2643(2),#FF0000
217,39,1,1,PALES-28981(3),#7F007F
218,91,1,1,N296-2471(1),#FF00FF
219,91,1,1,N296-2471(1),#FF00FF
220,91,1,1,N296-2471(1),#FF00FF
221,3,1,1,PAM18-2643(2),#FF0000
222,91,1,1,N296-2471(1),#FF00FF
223,3,1,1,PAM18-2643(2),#FF0000
224,3,1,1,PAM18-2643(2),#FF0000
225,39,1,1,PALES-28981(3),#7F007F
226,3,1,1,PAM18-2643(2),#FF0000
227,3,1,1,PAM18-2643(2),#FF0000
228,91,1,1,N296-2471(1),#FF00FF
229,3,1,1,PAM18-2643(2),#FF0000
230,91,1,1,N296-2471(1),#FF00FF
231,91,1,1,N296-2471(1),#FF00FF
232,91,1,1,N296-2471(1),#FF00FF
233,39,1,1,PALES-28981(3),#7F007F
234,91,1,1,N296-2471(1),#FF00FF
235,91,1,1,N296-2471(1),#FF00FF
236,91,1,1,N296-2471(1),#FF00FF
237,3,1,1,PAM18-2643(2),#FF0000
238,91,1,1,N296-2471(1),#FF00FF
239,3,1,1,PAM18-2643(2),#FF0000
240,91,1,1,N296-2471(1),#FF00FF
241,91,1,1,N296-2471(1),#FF00FF
242,3,1,1,PAM18-2643(2),#FF0000
243,3,1,1,PAM18-2643(2),#FF0000
244,91,1,1,N296-2471(1),#FF00FF
245,91,1,1,N296-2471(1),#FF00FF
246,91,1,1,N296-2471(1),#FF00FF
247,3,1,1,PAM18-2643(2),#FF0000
248,3,1,1,PAM18-2643(2),#FF0000
249,39,1,1,PALES-28981(3),#7F007F
250,91,1,1,N296-2471(1),#FF00FF
251,3,1,1,PAM18-2643(2),#FF0000
252,3,1,1,PAM18-2643(2),#FF0000
253,39,1,1,PALES-28981(3),#7F007F
254,39,1,1,PALES-28981(3),#7F007F
255,3,1,1,PAM18-2643(2),#FF0000
256,39,1,1,PALES-28981(3),#7F007F
257,39,1,1,PALES-28981(3),#7F007F
258,3,1,1,PAM18-2643(2),#FF0000
259,3,1,1,PAM18-2643(2),#FF0000
260,91,1,1,N296-2471(1),#FF00FF
261,3,1,1,PAM18-2643(2),#FF0000
262,3,1,1,PAM18-2643(2),#FF0000
